Date,Open,High,Low,Close,Adj Close,Volume
2001-01-08,89.388145,89.806404,87.535851,89.447899,51.907352,6343781
2001-01-09,90.284416,91.539200,87.416351,88.491875,51.352573,7894267
2001-01-10,88.432121,90.762428,87.655357,89.328392,51.838005,8008281
2001-01-11,88.850380,90.105164,87.237091,89.567398,51.976704,10078210
2001-01-12,89.567398,92.196465,88.312622,89.686905,52.046082,6744608
2001-01-16,89.627151,89.866158,87.774857,88.671127,51.456585,5932807
2001-01-17,91.180687,93.451241,90.164917,92.435471,53.641079,10174442
2001-01-18,99.784897,105.162521,98.948372,103.549232,60.090477,26406165
2001-01-19,102.772469,108.926865,102.533463,106.357552,61.720192,15441261
2001-01-22,104.684509,105.102776,103.429733,103.788239,60.229183,10060951
2001-01-23,104.744263,105.102776,102.891968,104.266251,60.506592,10278937
2001-01-24,104.266251,106.536804,104.146751,105.580788,61.269402,7071901
2001-01-25,105.282028,106.238052,104.624763,105.879539,61.442795,5211277
2001-01-26,104.804016,110.181641,104.385757,109.165871,63.349854,9513579
2001-01-29,107.552582,110.420647,107.523903,109.923515,63.789555,5360750
2001-01-30,109.942642,111.615677,108.413002,111.481834,64.693832,8621132
2001-01-31,110.659653,111.615677,107.074570,107.074570,62.136284,8696653
2001-02-01,107.456978,109.311661,106.309753,109.034416,63.273571,5837517
2001-02-02,107.791588,108.977058,104.780113,105.420647,61.176472,5678106
2001-02-05,104.588913,107.648186,104.493309,107.284897,62.258358,5348930
2001-02-06,107.294456,110.602295,106.309753,109.168259,63.351215,7872614
2001-02-07,108.413002,112.428299,107.715103,111.768639,64.934204,9421217
2001-02-08,111.768639,113.001915,109.015297,109.082214,63.373440,8766317
2001-02-09,109.015297,109.933075,106.118546,107.074570,62.207092,6609465
2001-02-12,105.688339,110.630974,105.449333,109.847038,63.817833,7038848
2001-02-13,109.130020,112.217972,108.097511,108.747612,63.179070,7524087
2001-02-14,108.747612,111.061188,107.552582,110.038239,63.928875,7356413
2001-02-15,111.663483,113.422562,111.261948,111.644356,64.861992,8471240
2001-02-16,109.512428,110.659653,108.929253,109.942642,63.873356,7398358
2001-02-20,109.512428,110.516251,105.908218,106.596558,61.929371,7058722
2001-02-21,104.732315,106.596558,102.571701,102.782028,59.713253,9578117
2001-02-22,101.816444,106.022942,98.833649,104.110901,60.485291,12247614
2001-02-23,102.772469,102.772469,95.841301,99.426384,57.763710,15979324
2001-02-26,101.147224,101.147224,97.351814,100.669212,58.485748,8727929
2001-02-27,100.286804,102.170174,98.049713,98.078392,56.980572,10238143
2001-02-28,98.422562,98.986618,94.741875,95.506691,55.486515,12482127
2001-03-01,94.933075,101.720840,93.212234,101.386230,58.902351,15796692
2001-03-02,99.426384,102.915871,96.500954,97.801147,56.819519,15423793
2001-03-05,98.288719,100.956024,98.126198,100.296364,58.269157,7054119
2001-03-06,101.577438,103.632889,100.621414,101.338432,58.874554,8493520
2001-03-07,102.724663,103.489487,101.013382,102.820267,59.735485,8147189
2001-03-08,102.456978,102.619499,100.736137,101.787766,59.135601,7106106
2001-03-09,100.382408,100.391968,93.594643,94.923515,55.147686,17455753
2001-03-12,93.594643,94.072655,90.841301,91.290634,53.037128,15161561
2001-03-13,90.917786,94.110901,90.057358,94.063095,54.647820,12685783
2001-03-14,91.204590,94.550667,89.235184,90.783936,52.742733,14901944
2001-03-15,91.778206,93.565964,90.984703,91.357552,53.075989,8807320
2001-03-16,89.770554,89.770554,84.321220,86.137665,50.043392,20950752
2001-03-19,86.998085,88.718925,85.277245,88.527725,51.431946,10706333
2001-03-20,87.571701,87.982796,84.225624,84.416824,49.043621,10565751
2001-03-21,84.560226,87.571701,83.891014,85.162521,49.476856,11519598
2001-03-22,85.200768,86.998085,83.795410,85.181641,49.487965,13941297
2001-03-23,89.388145,90.812622,86.319313,89.397705,51.937363,12796346
2001-03-26,91.061188,91.453156,89.627151,91.204590,52.987125,8975935
2001-03-27,89.866158,95.602295,89.837479,95.124283,55.264343,12396355
2001-03-28,93.594643,94.120461,90.105164,90.258125,52.437233,12437463
2001-03-29,90.305923,92.801147,90.114723,90.860420,52.787178,11039170
2001-03-30,92.256210,93.269600,90.956024,91.950287,53.420349,9896520
2001-04-02,93.164436,93.785851,89.464630,90.497131,52.576092,9191202
2001-04-03,90.439774,90.487572,86.137665,86.414917,50.204441,13943180
2001-04-04,86.472275,89.913956,86.089867,87.954109,51.098698,14137318
2001-04-05,91.586998,95.602295,91.328873,93.891014,54.547848,13081381
2001-04-06,93.690247,95.602295,92.160614,93.642448,54.403416,14041713
2001-04-09,94.168259,94.397705,89.674950,91.778206,53.320374,9922984
2001-04-10,92.734222,95.506691,92.313576,94.694077,55.014393,10982372
2001-04-11,97.036331,97.456978,91.586998,93.145317,54.114613,12027326
2001-04-12,92.160614,93.212234,90.965584,91.969406,53.431454,9822045
2001-04-16,91.969406,95.497131,91.013382,92.495216,53.736927,9611171
2001-04-17,92.734222,95.487572,92.734222,95.315491,55.375416,10415336
2001-04-18,98.470360,105.162521,97.801147,101.816444,59.152264,20725758
2001-04-19,107.074570,110.803062,105.592735,109.435944,63.578983,27010230
2001-04-20,109.321220,111.281075,108.747612,109.780113,63.778923,13346019
2001-04-23,108.996178,109.034416,106.768639,107.074570,62.207092,8930225
2001-04-24,108.413002,109.703636,107.361374,107.715103,62.579220,9144132
2001-04-25,107.074570,109.799232,107.065010,109.799232,63.790016,7173991
2001-04-26,109.894836,111.567879,108.680687,108.738052,63.173538,7684021
2001-04-27,111.663483,111.759079,109.512428,111.089867,64.539871,7730568
2001-04-30,111.281075,112.858505,109.674950,110.076485,63.951130,7695631
2001-05-01,110.755257,113.432121,109.847038,113.298279,65.822868,8149177
2001-05-02,113.097511,113.718925,108.738052,110.325050,64.095520,10152685
2001-05-03,109.560226,110.038239,107.409180,108.699806,63.151318,6880588
2001-05-04,107.074570,110.764816,106.309753,110.764816,64.351021,9080744
2001-05-07,111.089867,112.093689,109.942642,110.803062,64.373245,6368676
2001-05-08,112.093689,112.571701,110.420647,112.523903,65.452042,7955667
2001-05-09,111.089867,112.982796,110.229446,111.835564,65.051651,8033489
2001-05-10,113.288719,113.671127,110.133842,110.133842,64.061836,8361619
2001-05-11,108.747612,109.130020,106.080307,106.892921,62.176682,8776149
2001-05-14,106.309753,108.202675,106.118546,107.609940,62.593746,5496521
2001-05-15,108.508606,109.130020,107.552582,108.585083,63.160965,6143576
2001-05-16,107.552582,110.707458,107.265778,110.707458,64.395470,8155348
2001-05-17,110.707458,111.940727,109.990440,110.009560,63.989513,7204534
2001-05-18,110.009560,112.504784,109.847038,112.275337,65.307480,7023785
2001-05-21,112.762909,114.627151,112.380501,113.804970,66.197205,8796232
2001-05-22,114.435944,114.435944,112.093689,112.820267,65.624451,6281544
